,Date,Value (USD)
0,2004-01-01,1000.0000
1,2004-01-02,1001.9356
2,2004-01-05,1010.7477
3,2004-01-06,1012.8657
4,2004-01-07,1013.0513
5,2004-01-08,1018.3282
6,2004-01-09,1019.6966
7,2004-01-12,1020.5903
8,2004-01-13,1020.8552
9,2004-01-14,1020.5523
10,2004-01-15,1018.0768
11,2004-01-16,1011.2416
12,2004-01-19,1004.2528
13,2004-01-20,1020.1401
14,2004-01-21,1024.5969
15,2004-01-22,1027.6299
16,2004-01-23,1025.6434
17,2004-01-26,1022.1754
18,2004-01-27,1028.3817
19,2004-01-28,1022.7786
20,2004-01-29,1021.3225
21,2004-01-30,1024.6823
22,2004-02-02,1021.6591
23,2004-02-03,1027.1942
24,2004-02-04,1027.2398
25,2004-02-05,1027.3998
26,2004-02-06,1034.8283
27,2004-02-09,1033.4775
28,2004-02-10,1032.4871
29,2004-02-11,1038.3660
30,2004-02-12,1037.5168
31,2004-02-13,1036.1643
32,2004-02-16,1037.8925
33,2004-02-17,1040.2022
34,2004-02-18,1037.6719
35,2004-02-19,1036.8871
36,2004-02-20,1031.9175
37,2004-02-23,1032.9906
38,2004-02-24,1038.2981
39,2004-02-25,1033.6315
40,2004-02-26,1029.8977
41,2004-02-27,1033.2468
42,2004-03-01,1031.3563
43,2004-03-02,1020.0478
44,2004-03-03,1020.1660
45,2004-03-04,1022.7652
46,2004-03-05,1032.2154
47,2004-03-08,1035.2990
48,2004-03-09,1030.7790
49,2004-03-10,1025.0441
50,2004-03-11,1029.5158
51,2004-03-12,1023.4267
52,2004-03-15,1025.4014
53,2004-03-16,1028.9780
54,2004-03-17,1027.8945
55,2004-03-18,1038.8327
56,2004-03-19,1033.9772
57,2004-03-22,1039.7154
58,2004-03-23,1039.5545
59,2004-03-24,1029.7809
60,2004-03-25,1027.3581
61,2004-03-26,1028.4385
62,2004-03-29,1030.2937
63,2004-03-30,1033.7265
64,2004-03-31,1043.4535
65,2004-04-01,1046.0648
66,2004-04-02,1032.3157
67,2004-04-05,1024.2033
68,2004-04-06,1034.8316
69,2004-04-07,1039.0134
70,2004-04-08,1033.7901
71,2004-04-09,1034.0752
72,2004-04-12,1033.9827
73,2004-04-13,1024.7523
74,2004-04-14,1024.4730
75,2004-04-15,1027.5180
76,2004-04-16,1033.7039
77,2004-04-19,1034.9097
78,2004-04-20,1021.7161
79,2004-04-21,1018.9517
80,2004-04-22,1023.5348
81,2004-04-23,1021.3210
82,2004-04-26,1026.3124
83,2004-04-27,1029.5558
84,2004-04-28,1019.4681
85,2004-04-29,1022.0984
86,2004-04-30,1025.7321
87,2004-05-03,1024.4907
88,2004-05-04,1034.7629
89,2004-05-05,1035.2803
90,2004-05-06,1032.2126
91,2004-05-07,1027.0156
92,2004-05-10,1015.1659
93,2004-05-11,1014.5022
94,2004-05-12,1019.8187
95,2004-05-13,1011.0622
96,2004-05-14,1013.8550
97,2004-05-17,1018.2066
98,2004-05-18,1015.9480
99,2004-05-19,1027.0637
100,2004-05-20,1029.9236
101,2004-05-21,1037.2636
102,2004-05-24,1031.4152
103,2004-05-25,1038.7012
104,2004-05-26,1040.6570
105,2004-05-27,1064.1692
106,2004-05-28,1059.7200
107,2004-05-31,1059.5620
108,2004-06-01,1057.7572
109,2004-06-02,1062.3090
110,2004-06-03,1058.3840
111,2004-06-04,1064.1149
112,2004-06-07,1079.4231
113,2004-06-08,1076.1870
114,2004-06-09,1064.3998
115,2004-06-10,1088.1030
116,2004-06-11,1083.6024
117,2004-06-14,1073.5278
118,2004-06-15,1086.5040
119,2004-06-16,1082.6643
120,2004-06-17,1082.8962
121,2004-06-18,1089.2333
122,2004-06-21,1089.3375
123,2004-06-22,1094.1329
124,2004-06-23,1092.4642
125,2004-06-24,1108.2914
126,2004-06-25,1097.2091
127,2004-06-28,1116.9521
128,2004-06-29,1113.1732
129,2004-06-30,1120.6525
130,2004-07-01,1123.6627
131,2004-07-02,1133.2223
132,2004-07-05,1133.3307
133,2004-07-06,1134.4098
134,2004-07-07,1140.6226
135,2004-07-08,1141.8782
136,2004-07-09,1143.4804
137,2004-07-12,1143.6122
138,2004-07-13,1140.2038
139,2004-07-14,1139.0252
140,2004-07-15,1137.0430
141,2004-07-16,1147.3962
142,2004-07-19,1147.4511
143,2004-07-20,1141.4777
144,2004-07-21,1130.5029
145,2004-07-22,1136.3059
146,2004-07-23,1126.1743
147,2004-07-26,1131.0315
148,2004-07-27,1129.7418
149,2004-07-28,1131.3449
150,2004-07-29,1135.1296
151,2004-07-30,1134.7551
152,2004-08-02,1137.8521
153,2004-08-03,1144.2017
154,2004-08-04,1147.9287
155,2004-08-05,1147.4641
156,2004-08-06,1170.1726
157,2004-08-09,1168.9621
158,2004-08-10,1164.6577
159,2004-08-11,1163.9082
160,2004-08-12,1164.1767
161,2004-08-13,1176.6528
162,2004-08-16,1180.1058
163,2004-08-17,1177.6651
164,2004-08-18,1177.7781
165,2004-08-19,1182.4943
166,2004-08-20,1177.8647
167,2004-08-23,1167.0606
168,2004-08-24,1164.0798
169,2004-08-25,1162.7465
170,2004-08-26,1163.1954
171,2004-08-27,1157.8491
172,2004-08-30,1157.8455
173,2004-08-31,1169.4561
174,2004-09-01,1175.4083
175,2004-09-02,1174.6747
176,2004-09-03,1164.9178
177,2004-09-06,1166.4751
178,2004-09-07,1166.0685
179,2004-09-08,1174.2616
180,2004-09-09,1175.8400
181,2004-09-10,1182.5280
182,2004-09-13,1180.4107
183,2004-09-14,1182.7827
184,2004-09-15,1170.4052
185,2004-09-16,1176.6944
186,2004-09-17,1176.2059
187,2004-09-20,1172.9326
188,2004-09-21,1184.7779
189,2004-09-22,1182.9416
190,2004-09-23,1185.5598
191,2004-09-24,1190.0390
192,2004-09-27,1192.5941
193,2004-09-28,1193.3302
194,2004-09-29,1192.7338
195,2004-09-30,1202.3554
196,2004-10-01,1197.6761
197,2004-10-04,1187.5450
198,2004-10-05,1186.7325
199,2004-10-06,1184.4344
200,2004-10-07,1186.7955
201,2004-10-08,1196.8087
202,2004-10-11,1198.0584
203,2004-10-12,1193.3478
204,2004-10-13,1194.8343
205,2004-10-14,1197.3977
206,2004-10-15,1203.5122
207,2004-10-18,1201.1082
208,2004-10-19,1205.0229
209,2004-10-20,1212.4540
210,2004-10-21,1217.2593
211,2004-10-22,1221.0883
212,2004-10-25,1230.8240
213,2004-10-26,1227.1187
214,2004-10-27,1223.2158
215,2004-10-28,1223.2158
216,2004-10-29,1227.4128
217,2004-11-01,1224.2358
218,2004-11-02,1224.9434
219,2004-11-03,1231.9570
220,2004-11-04,1234.6170
221,2004-11-05,1240.8074
222,2004-11-08,1238.7038
223,2004-11-09,1239.1288
224,2004-11-10,1234.2989
225,2004-11-11,1235.9002
226,2004-11-12,1241.9996
227,2004-11-15,1241.7431
228,2004-11-16,1244.6394
229,2004-11-17,1249.8822
230,2004-11-18,1246.0933
231,2004-11-19,1252.0253
232,2004-11-22,1251.9427
233,2004-11-23,1254.8852
234,2004-11-24,1257.7329
235,2004-11-25,1260.9342
236,2004-11-26,1261.1217
237,2004-11-29,1261.0300
238,2004-11-30,1262.8655
239,2004-12-01,1263.4857
240,2004-12-02,1263.4857
241,2004-12-03,1263.9628
242,2004-12-06,1264.1744
243,2004-12-07,1264.0980
244,2004-12-08,1261.1876
245,2004-12-09,1263.1786
246,2004-12-10,1260.8522
247,2004-12-13,1264.1864
248,2004-12-14,1261.9900
249,2004-12-15,1269.8251
250,2004-12-16,1266.0507
251,2004-12-17,1268.9254
252,2004-12-20,1270.7839
253,2004-12-21,1269.1856
254,2004-12-22,1266.6653
255,2004-12-23,1269.5747
256,2004-12-24,1271.1315
257,2004-12-27,1276.9218
258,2004-12-28,1276.5690
259,2004-12-29,1275.4301
260,2004-12-30,1278.4301
261,2004-12-31,1278.4301
262,2005-01-03,1277.2916
263,2005-01-04,1267.6419
264,2005-01-05,1267.6921
265,2005-01-06,1261.5030
266,2005-01-07,1258.8462
267,2005-01-10,1261.3660
268,2005-01-11,1262.8532
269,2005-01-12,1274.5068
270,2005-01-13,1271.0594
271,2005-01-14,1265.1652
272,2005-01-17,1260.4022
273,2005-01-18,1260.7655
274,2005-01-19,1263.3509
275,2005-01-20,1262.6403
276,2005-01-21,1269.6192
277,2005-01-24,1271.0915
278,2005-01-25,1264.6268
279,2005-01-26,1272.8940
280,2005-01-27,1272.4942
281,2005-01-28,1271.0307
